shard_id,shard_name,shard_file,episode_count
42,shard_0042,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0042/shard_input.jsonl,1
43,shard_0043,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0043/shard_input.jsonl,1
44,shard_0044,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0044/shard_input.jsonl,1
45,shard_0045,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0045/shard_input.jsonl,1
46,shard_0046,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0046/shard_input.jsonl,1
47,shard_0047,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0047/shard_input.jsonl,1
48,shard_0048,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0048/shard_input.jsonl,1
49,shard_0049,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0049/shard_input.jsonl,1
50,shard_0050,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0050/shard_input.jsonl,1
51,shard_0051,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0051/shard_input.jsonl,1
52,shard_0052,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0052/shard_input.jsonl,1
53,shard_0053,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0053/shard_input.jsonl,1
54,shard_0054,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0054/shard_input.jsonl,1
55,shard_0055,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0055/shard_input.jsonl,1
56,shard_0056,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0056/shard_input.jsonl,1
57,shard_0057,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0057/shard_input.jsonl,1
58,shard_0058,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0058/shard_input.jsonl,1
59,shard_0059,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0059/shard_input.jsonl,1
60,shard_0060,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0060/shard_input.jsonl,1
61,shard_0061,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0061/shard_input.jsonl,1
62,shard_0062,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0062/shard_input.jsonl,1
63,shard_0063,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0063/shard_input.jsonl,1
64,shard_0064,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0064/shard_input.jsonl,1
65,shard_0065,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0065/shard_input.jsonl,1
66,shard_0066,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0066/shard_input.jsonl,1
67,shard_0067,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0067/shard_input.jsonl,1
68,shard_0068,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0068/shard_input.jsonl,1
69,shard_0069,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0069/shard_input.jsonl,1
70,shard_0070,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0070/shard_input.jsonl,1
71,shard_0071,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0071/shard_input.jsonl,1
72,shard_0072,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0072/shard_input.jsonl,1
